ID,space_alias_name,space_type,space_category,department_occupied
2247,Male Shower,Balance Space,Other,Balance
2248,Goods Check,Central Catering,Support,Social Space Penryn
2249,Store and Laundry,Other Space,Other,Third Party Accounts
2250,Meeting Pod,Meeting Room,Academic - Faculty,University of Exeter Medical School
2251,General Stores,Storage Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2252,Ante,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2253,Office,Office,Support,Estate Services
2254,Staff Common Room,Social Space,Support,Social Space Penryn
2255,Meeting Room,Meeting Room,Academic - Faculty,Finance and Accounting
2256,Accessibility Office,Office,Other,Guild Penryn
2257,Plant Room Lobby,Balance (Building Service) Space,Other,Balance
2258,Balcony (outside),Social Space,Support,Social Space Streatham
2259,IT Suite Room 3,Computer Room,Other,Other
2260,Control Panels,Balance Space,Other,Balance
2261,Meeting Room,Meeting Room,Academic - Faculty,Management
2262,Lobby,Balance Space,Residential,Balance
2263,CONTROL ROOM LEVEL 271.00,Social Space,Support,Social Space Streatham
2264,Bar Kitchen,Central Catering,Support,Catering and Food Services
2265,Lecture Room - Teaching/PC cluster,Teaching/PC Cluster [PS],Academic - Central,Centrally Bookable Space
2266,Staff Kitchen,Other Space,Other,Other
2267,Bar Area,Other Space,Residential,Residence Operations
2268,Music Studio,Specialist Area,Other,University College Falmouth
2269,Dark Room,Other Space,Other,Student Guild
2270,Female Shower,Balance Space,Other,Balance
2271,Switchgear,Balance Space,Other,Balance
2272,Meter,Balance Space,Other,Balance
2273,Examination Store,Storage Space,Academic - Central,Penryn CBS
2274,Office,Office,Support,Transport Team
2275,PG Office,Office,Academic - Faculty,University of Exeter Business School
2276,Corridor / Social Space,Balance Space,Other,Balance
2277,Lounge,Central Catering,Support,Catering and Food Services
2278,Xpression FM - Control One,Other Space,Other,Student Guild
2279,Boiler Room,Balance (Building Service) Space,Residential,Balance
2280,Microscopes/Balances,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
2281,Balance - The Street,Balance Space,Other,Balance
2282,Mobility Lift,Balance Space,Other,Balance
2283,Academic Office,Office,Academic - Faculty,"Languages, Cultures and Visual Studies"
2284,Director,Office,Support,Combined Services
2285,PGR desks,Office,Academic - Faculty,Law School
2286,TEA PANTRY,Balance Space,Other,Balance
2287,Edit,Specialist Area,Other,University College Falmouth
2288,Director PS Connect,Office,Support,PS Connect (Finance)
2289,Seminar Room 3,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2290,Fin Ops & Procurement Meeting Room [PS Connect],Meeting Room,Support,PS Connect (Finance)
2291,Rear Lobby,Balance Space,Other,Balance
2292,Reception,Other Space,Academic - Faculty,University of Exeter Business School
2293,Informal Meeting Area,Meeting Room,Academic - Faculty,University of Exeter Business School
2294,Store,Storage Space,Support,Stores
2295,130B lobby,Balance Space,Other,Balance
2296,Gen. Exhaust Alcove,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
2297,Wash Up,Other Space,Residential,Residence Operations
2298,Undergraduate Computer Room,Computer Room,Academic - Faculty,"Communications, Drama and Film"
2299,Lobby onto Main Corridor,Balance Space,Other,Balance
2300,Male Staff Changing Room,Balance Space,Residential,Balance
2301,Old Library PC Cluster,Teaching/PC Cluster [PS],Academic - Central,Centrally Bookable Space
2302,Exam 5,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2303,Medical Notes Storage,Other Space,Other,Third Party Accounts
2304,Support / Print / Cloaks,Other Space,Academic - Faculty,University of Exeter Business School
2305,Conference Room,Meeting Room,Other,University
2306,Health Centre - GENERAL PURPOSE,Other Space,Other,Third Party Accounts
2307,Coal Store,Balance Space,Other,Balance
2308,Lab Manager Office (in corridor),Office,Academic - Faculty,Faculty of Health and Life Sciences
2309,Play Area (2yrs),Other Space,Other,Third Party Accounts
2310,Clinic Room 8,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2311,Hazardous Waste,Storage Space,Support,Stores
2312,Tutorial Room 1,Other Space,Other,University College Falmouth
2313,Language Lab 1,Seminar Room,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2314,Change Area,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2315,Business Information Systems Development,Office,Other,University College Falmouth
2316,Stairs and Circ,Balance Space,Other,Balance
2317,MAIN HALL LEVEL 271.00,Social Space,Support,Social Space Streatham
2318,Student Services (Room 6),Other Space,Support,Student Wellbeing and Welfare
2319,Fridge,Other Space,Residential,Residence Operations
2320,Resource / Work Room,Seminar Room,Academic - Faculty,University of Exeter Business School
2321,Store,Storage Space,Support,Combined Services
2322,Elec & Workshop,Workshops,Support,"Finance, Infrastructure and Commercial Services"
2323,Finance Office - UCF,Office,Other,University College Falmouth
2324,Store,Bedroom,Residential,Residence Operations
2325,Grinding Room Teaching Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2326,KITCHEN,Library,Other,Social Space Streatham
2327,Substation 160,Balance (Building Service) Space,Residential,Balance
2328,Kolade Teaching Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2329,Terrace Kitchen Store,Storage Space,Support,Catering and Food Services
2330,Print,Office,Other,Other
2331,Central Laboratory,Laboratory,Academic - Faculty,University of Exeter Medical School
2332,The Exeter Room - Hospitality Team,Central Catering,Support,Catering and Food Services
2333,Hub Room - Seminar,Other Space,Support,University
2334,Food Area,Social Space,Support,Social Space Penryn
2335,Office,Office,Other,University
2336,Toilet (AWC) - Seminar,Balance Space,Other,Balance
2337,Circulation,Balance Space,Other,Other
2338,Admin Office,Other Space,Other,Third Party Accounts
2339,Staffroom,Other Space,Other,Third Party Accounts
2340,TQAE Office,Office,Support,Learning Experiences and Innovation
2341,Administrative Officer,Office,Support,Education and Academic Services
2342,Innovation Study Space,Study Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2343,DH1 main circulation,Balance Space,Other,Balance
2344,Bar Seating Area,Central Catering,Support,Social Space Streatham
2345,Seminar Room C,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2346,Store Examination,Balance Space,Other,Balance
2347,Chef Office,Office,Residential,Residence Operations
2348,Amory Law Corridor,Balance Space,Other,Balance
2349,Clean area & Hank Dyeing,Specialist Area,Other,University College Falmouth
2350,Admin,Office,Academic - Faculty,Clinical and Biomedical Sciences
2351,Energy Policy Group PostGrad -Extr,Office,Academic - Faculty,Geography
2352,Wellbeing Office,Office,Support,Student Services Penryn
2353,Admin office,Office,Academic - Faculty,Geography
2354,PGR desks,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2355,Used for 'NIGHTLINE' Student Support,Balance Space,Other,Balance
2356,Ensemble Room,Other Space,Other,Student Guild
2357,Changing Room Lobby,Balance Space,Other,Balance
2358,Podcast Studio,Computer Room,Academic - Faculty,"Communications, Drama and Film"
2359,AI Store,Storage Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2360,Garden Studio,Specialist Area,Other,University College Falmouth
2361,Store/Cleaner,Balance Space,Other,Balance
2362,Retail Store Lobby,Balance Space,Other,Balance
2363,Transfer Lobby,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2364,Wellbeing Admin Office,Office,Support,Student Services Penryn
2365,Door lobby,Balance Space,Other,Balance
2366,Kitchen,Other Space,Support,Retail Catering - Kitchen Team
2367,Maker Space Teaching Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2368,Interview Room,Meeting Room,Support,Education and Academic Services
2369,Conference Room,Other Space,Other,Student Guild
2370,Store Room,Storage Space,Academic - Faculty,University of Exeter Medical School
2371,Toxic Room,Specialist Area,Other,University College Falmouth
2372,Timber Workshop,Workshops,Support,Estate Services
2373,Student Recruitment,Office,Support,Education and Academic Services
2374,Staff Meeting Room,Meeting Room,Academic - Faculty,Faculty of Health and Life Sciences
2375,Press Team,Office,Support,External Engagement and Global
2376,Balance Space,Balance Space,Other,University
2377,CHUMS - Dean's Office,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2378,PGR/Postgrad Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2379,Greenpeace Laboratory,Other Space,Other,Third Party Accounts
2380,Basement Balance,Balance Space,Other,Balance
2381,Meeting Room,Meeting Room,Support,Wellbeing Services
2382,PGR/ Postdoc Bookable Desk office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2383,Vehicle Assembly Teaching Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2384,Meeting Area,Specialist Area,Other,University College Falmouth
2385,Small Group 2,Specialist Area,Academic - Faculty,University of Exeter Medical School
2386,La Touche Caf̩,Social Space,Support,Social Space Streatham
2387,Office in FI Kitchen,Central Catering,Support,Catering and Food Services
2388,PROJECTION BOX,Other Space,Other,Northcott Theatre
2389,Female toilets,Balance Space,Other,Balance
2390,Boiler Room,Balance Space,Residential,Balance
2391,Central Circulation,Balance Space,Other,Balance
2392,Quiet Working,Office,Academic - Faculty,Clinical and Biomedical Sciences
2393,Soil Store,Storage Space,Academic - Faculty,Geography
2394,Model Area,Specialist Area,Other,University College Falmouth
2395,Laboratory,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
2396,Student Services (Room 18) - training suite,Other Space,Support,AccessAbility
2397,Innovation Space,Office,Support,Exeter Innovation
2398,The Richard Jones Laboratory - Physical Geography,Specialist Area,Academic - Faculty,Geography
2399,Health Centre - HEALTH VISITOR,Other Space,Other,Third Party Accounts
2400,ELECTRICAL STORE LEVEL 287.50,Social Space,Support,Social Space Streatham
2401,Guild Activity Space 1 - Pippa Langstone,Other Space,Other,Student Guild
2402,Career Zone Meeting,Meeting Room,Academic - Faculty,University of Exeter Business School
2403,East Plant Room,Balance (Building Service) Space,Other,Balance
2404,Kitchen Breakout,Other Space,Support,University
2405,Dining Room,Other Space,Residential,Residence Operations
2406,Meeting Room 2,Meeting Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2407,Staff Office,Office,Support,Student Cases
2408,?,Other Space,Other,University College Falmouth
2409,Director's admin Team/AD Communications,Office,Support,External Engagement and Global
2410,Fluids Laboratory,Specialist Area,Academic - Faculty,"Faculty of Environment, Science and Economy"
2411,C.E.O.'s Office,Office,Support,Combined Services
2412,Visitor WC / Baby Change,Balance Space,Other,Third Party Accounts
2413,Boardroom 4,Social Space,Academic - Faculty,Law School
2414,Brothers Ablution,Other Space,Support,Multi-faith Chaplaincy
2415,Comms Room,Balance Space,Residential,Balance
2416,Lobby (A13),Balance Space,Other,Balance
2417,Decant Space ESE,Storage Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2418,Balance Space Level 3,Balance Space,Residential,Balance
2419,Print Service Room,Specialist Area,Other,University College Falmouth
2420,Post Lab,Laboratory,Academic - Faculty,University of Exeter Medical School
2421,Seminar Room A,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2422,Campus Reception,Office,Support,FXplus Estates
2423,Seminar Room 11 / The Steve Edge Seminar Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2424,Photocopier Room,Office,Support,Combined Services
2425,Duct in A6,Balance Space,Other,Balance
2426,The Richard Jones Laboratory - Specialist Lab,Specialist Area,Academic - Faculty,Geography
2427,Electrical,Balance (Building Service) Space,Other,Balance
2428,The Green (Tea) Room,Leisure Facilities,Other,Student Guild
2429,Water Tank,Balance Space,Other,Balance
2430,Platform Lift,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2431,Plant Room,Other Space,Other,University College Falmouth
2432,Law Store,Storage Space,Academic - Faculty,Law School
2433,MBA Staff Office,Office,Academic - Faculty,University of Exeter Business School
2434,Hub Room -Seminar,Other Space,Support,Estate Services
2435,Digital Humanities Lab 2,Specialist Area,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2436,Xpression FM - Studio 1,Other Space,Other,Student Guild
2437,Stair Landing,Balance Space,Other,Balance
2438,Reception Room (public),Other Space,Other,University
2439,PG Open Plan Office,Office,Academic - Faculty,University of Exeter Business School
2440,Research Office,Office,Other,University College Falmouth
2441,Gas Isolation,Balance Space,Other,Balance
2442,Staircase,Balance Space,Other,Balance
2443,FEELE Computer Laboratory,Computer Room,Academic - Faculty,Economics
2444,Skydeck,Workshops,Academic - Faculty,University of Exeter Business School
2445,Plant Space,Balance (Building Service) Space,Other,Balance
2446,Business Office,Office,Academic - Faculty,University of Exeter Business School
2447,Breakout Space,Social Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2448,Tea Point,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
